ID_Cliente,Primeiro Nome,Sobrenome,Data Nascimento,Estado Civil,Genero,Educacao,ID_Cidade
5087,Arthur,Jiménez,2-9-1942,Solteiro(a),Masculino,Ensino Superior,5
5088,Meredith,Vance,12-23-1980,Solteiro(a),Feminino,Pós-graduação,8
5089,Sabrina,Rubio,5-12-1980,Casado(a),Feminino,Pós-graduação,5
5090,Autumn,Liu,1-17-1980,Casado(a),Feminino,Mestrado,8
5091,Brandi,Blanco,4-27-1977,Casado(a),Feminino,Ensino Médio,10
5092,Marshall,Zeng,12-13-1977,Solteiro(a),Masculino,Ensino Médio,29
5093,Anna,Martin,3-24-1977,Casado(a),Feminino,Ensino Médio,9
5094,Cassandra,Sara,2-26-1976,Casado(a),Feminino,Ensino Médio,11
5095,Mayra,Raman,10-10-1976,Casado(a),Feminino,Ensino Médio,23
5096,Frederick,Sai,12-6-1976,Casado(a),Masculino,Ensino Médio,5
5097,Julio,Serrano,7-16-1979,Casado(a),Masculino,Mestrado,17
5098,Mitchell,Xie,4-14-1979,Solteiro(a),Masculino,Mestrado,14
5099,Autumn,Ma,10-23-1979,Casado(a),Feminino,Mestrado,10
5100,Danny,Suarez,2-17-1979,Solteiro(a),Masculino,Mestrado,8
5101,Keith,Shan,3-23-1979,Solteiro(a),Masculino,Mestrado,6
5102,Joanna,Ashe,7-10-1979,Casado(a),Feminino,Mestrado,2
5103,Eugene,She,1-3-1978,Casado(a),Masculino,Mestrado,10
5104,Carolyn,Garcia,4-27-1978,Casado(a),Feminino,Mestrado,6
5105,Geoffrey,Perez,3-26-1978,Casado(a),Masculino,Mestrado,23
5106,Clinton,Gutierrez,4-6-1978,Solteiro(a),Masculino,Mestrado,9
5107,Carolyn,Rodriguez,10-27-1977,Solteiro(a),Feminino,Pós-graduação,27
5108,Jimmy,Hernandez,11-13-1961,Casado(a),Masculino,Pós-graduação,19
5109,Kaitlyn,Campbell,11-6-1961,Casado(a),Feminino,Ensino Superior,7
5110,Barbara,Zhu,2-27-1960,Casado(a),Feminino,Ensino Médio,28
5111,Sydney,Young,7-21-1960,Solteiro(a),Feminino,Pós-graduação,21
5112,Nuan,Ma,4-21-1960,Casado(a),Masculino,Pós-graduação,6
5113,Melody,Carlson,7-21-1960,Solteiro(a),Feminino,Pós-graduação,29
5114,Clinton,Sandberg,10-7-1960,Solteiro(a),Masculino,Pós-graduação,5
5115,Ruben,Navarro,12-10-1960,Casado(a),Masculino,Pós-graduação,24
5116,Aimee,Wang,11-25-1960,Solteiro(a),Feminino,Pós-graduação,3
5117,Marie,Vance,7-22-1959,Casado(a),Feminino,Pós-graduação,10
5118,Connor,Nelson,5-2-1958,Casado(a),Masculino,Pós-graduação,22
5119,Diana,Carlson,4-23-1958,Casado(a),Feminino,Pós-graduação,26
5120,Diane,Hernandez,3-4-1958,Casado(a),Feminino,Ensino Superior,10
5121,Michele,Kapoor,8-8-1960,Casado(a),Feminino,Ensino Superior,26
5122,Leslie,Romero,4-8-1960,Casado(a),Feminino,Ensino Superior,5
5123,Sheila,Serrano,7-23-1960,Casado(a),Feminino,Ensino Superior,9
5124,Monica,Prasad,5-14-1960,Solteiro(a),Feminino,Ensino Superior,15
5125,Omar,Ye,2-22-1959,Casado(a),Masculino,Mestrado,11
5126,Gary,Serrano,7-11-1959,Casado(a),Masculino,Mestrado,19
5127,Bianca,Huang,6-14-1958,Casado(a),Feminino,Mestrado,29
5128,Cara,Wang,1-20-1970,Casado(a),Feminino,Ensino Médio,30
5129,Lori,Jimenez,1-4-1970,Solteiro(a),Feminino,Ensino Médio,28
5130,Cedric,Wu,7-18-1970,Solteiro(a),Masculino,Ensino Médio,22
5131,Clifford,Fernandez,3-21-1970,Solteiro(a),Masculino,Pós-graduação,24
5132,Luke,Nelson,3-24-1970,Solteiro(a),Masculino,Pós-graduação,21
5133,Joe,Suri,10-23-1970,Solteiro(a),Masculino,Pós-graduação,21
5134,Kristi,Martin,8-15-1969,Solteiro(a),Feminino,Ensino Médio,10
5135,Lindsay,Xu,10-23-1970,Solteiro(a),Feminino,Mestrado,29
5136,Cassie,She,3-6-1970,Solteiro(a),Feminino,Mestrado,17
5137,Brendan,Shan,10-16-1969,Solteiro(a),Masculino,Pós-graduação,22
5138,Preston,Subram,11-10-1969,Solteiro(a),Masculino,Mestrado,7
5139,Jacqueline,Kelly,9-23-1969,Solteiro(a),Feminino,Mestrado,18
5140,Roy,Sanchez,7-16-1969,Casado(a),Masculino,Mestrado,26
5141,Ruben,Hernandez,6-22-1969,Casado(a),Masculino,Mestrado,28
5142,Bruce,Arun,10-18-1969,Casado(a),Masculino,Ensino Superior,16
5143,Pedro,Lopez,8-26-1969,Casado(a),Masculino,Ensino Superior,25
5144,Jill,Ramos,3-5-1969,Solteiro(a),Feminino,Ensino Superior,4
5145,Chad,Luo,3-22-1969,Solteiro(a),Masculino,Ensino Superior,28
5146,Eddie,Serrano,11-4-1952,Casado(a),Masculino,Pós-graduação,26
5147,Jon,Liang,8-10-1952,Casado(a),Masculino,Pós-graduação,14
5148,Johnathan,McDonald,6-10-1951,Casado(a),Masculino,Ensino Médio,11
5149,Franklin,Zheng,7-10-1951,Casado(a),Masculino,Pós-graduação,16
5150,Evelyn,Prasad,11-4-1953,Solteiro(a),Feminino,Ensino Médio,21
5151,Terrance,Suri,9-13-1953,Casado(a),Masculino,Ensino Médio,1
5152,Sheena,Andersen,1-27-1968,Solteiro(a),Feminino,Pós-graduação,21
5153,Karen,Liang,6-17-1968,Casado(a),Feminino,Pós-graduação,1
5154,James,Sharma,6-8-1968,Solteiro(a),Masculino,Pós-graduação,29
5155,Alan,Cai,2-4-1968,Casado(a),Masculino,Mestrado,30
5156,Sabrina,Alonso,5-28-1968,Casado(a),Feminino,Mestrado,25
5157,Sheena,Xu,3-11-1968,Solteiro(a),Feminino,Mestrado,24
5158,Jamie,Vazquez,8-11-1968,Casado(a),Masculino,Mestrado,16
5159,Keith,Jai,11-20-1968,Casado(a),Masculino,Ensino Superior,11
5160,Kristi,Carlson,7-6-1968,Casado(a),Feminino,Ensino Superior,9
5161,Walter,Munoz,11-7-1968,Casado(a),Masculino,Ensino Superior,10
5162,Elizabeth,Butler,3-9-1925,Casado(a),Feminino,Mestrado,29
5163,Meredith,Suri,2-19-1967,Solteiro(a),Feminino,Ensino Médio,4
5164,Misty,Chande,2-4-1967,Casado(a),Feminino,Pós-graduação,30
5165,Jaclyn,Tang,8-21-1967,Solteiro(a),Feminino,Mestrado,12
5166,Desiree,Suarez,6-18-1967,Casado(a),Feminino,Mestrado,30
5167,Miranda,Barnes,8-10-1967,Solteiro(a),Feminino,Mestrado,25
5168,Louis,Li,4-23-1966,Casado(a),Masculino,Ensino Fundamental,16
5169,Colleen,Sun,11-20-1966,Solteiro(a),Feminino,Ensino Médio,2
5170,Robert,Thompson,9-7-1967,Casado(a),Masculino,Mestrado,18
5171,Ebony,Arun,4-10-1966,Casado(a),Feminino,Mestrado,23
5172,Frank,Jimenez,3-5-1965,Solteiro(a),Masculino,Ensino Fundamental,12
5173,Lawrence,Jimenez,1-28-1965,Solteiro(a),Masculino,Ensino Fundamental,26
5174,Colin,Lu,12-15-1965,Casado(a),Masculino,Ensino Fundamental,2
5175,Latoya,Yuan,1-3-1965,Casado(a),Feminino,Ensino Médio,23
5176,Lindsey,Pal,1-11-1965,Solteiro(a),Feminino,Ensino Médio,8
5177,Dominic,Sanchez,2-22-1965,Solteiro(a),Masculino,Ensino Médio,9
5178,Catherine,Kelly,11-4-1965,Solteiro(a),Feminino,Ensino Médio,14
5179,Diane,Carlson,3-10-1965,Casado(a),Feminino,Mestrado,6
5180,Manuel,Rana,6-9-1965,Casado(a),Masculino,Mestrado,26
5181,Terrence,Nath,12-1-1964,Solteiro(a),Masculino,Ensino Fundamental,31
5182,Rachel,James,4-7-1964,Solteiro(a),Feminino,Ensino Fundamental,10
5183,Grace,Gray,2-10-1964,Solteiro(a),Feminino,Ensino Fundamental,1
5184,Lee,Carlson,5-12-1964,Solteiro(a),Masculino,Ensino Médio,2
5185,Ebony,Lopez,7-19-1964,Casado(a),Feminino,Mestrado,27
5186,Xavier,Smith,3-10-1964,Solteiro(a),Masculino,Mestrado,22
5187,Jason,Edwards,8-18-1964,Solteiro(a),Masculino,Pós-graduação,23
5188,Trisha,Chen,12-20-1963,Solteiro(a),Feminino,Ensino Médio,8
5189,Clarence,Deng,5-25-1933,Casado(a),Masculino,Ensino Médio,28
5190,Leslie,Vazquez,11-16-1933,Casado(a),Feminino,Pós-graduação,21
5191,Katelyn,Bell,4-28-1933,Casado(a),Feminino,Pós-graduação,21
5192,Rebecca,Scott,8-22-1966,Solteiro(a),Feminino,Mestrado,9
5193,Alvin,Anand,11-28-1965,Solteiro(a),Masculino,Pós-graduação,5
5194,Yiroyuki,Sato,6-14-1965,Solteiro(a),Feminino,Pós-graduação,5
5195,Thomas,Garcia,6-26-1965,Solteiro(a),Masculino,Pós-graduação,28
5196,Ashley,Jenkins,4-19-1965,Solteiro(a),Feminino,Pós-graduação,20
5197,Gina,Gutierrez,2-6-1964,Casado(a),Feminino,Mestrado,16
5198,Jacquelyn,Castro,10-2-1964,Casado(a),Feminino,Mestrado,29
5199,Alison,Sharma,11-18-1963,Solteiro(a),Feminino,Pós-graduação,30
5200,Lance,Munoz,12-6-1963,Solteiro(a),Masculino,Pós-graduação,15
5201,Jon,Lin,9-3-1963,Solteiro(a),Masculino,Pós-graduação,10
5202,Gary,Ruiz,6-21-1977,Casado(a),Masculino,Ensino Médio,14
5203,Steve,Ma,2-11-1979,Casado(a),Masculino,Ensino Médio,22
5204,Sandra,Liu,4-24-1979,Solteiro(a),Feminino,Ensino Médio,5
5205,Sandra,Zhang,6-23-1979,Solteiro(a),Feminino,Pós-graduação,24
5206,Meagan,Perez,3-8-1979,Solteiro(a),Feminino,Pós-graduação,1
5207,Willie,Zheng,3-2-1963,Casado(a),Masculino,Mestrado,29
5208,Francis,Hernandez,7-24-1963,Casado(a),Masculino,Mestrado,8
5209,Robin,Gutierrez,7-3-1963,Casado(a),Feminino,Mestrado,5
5210,Cory,Sara,5-6-1963,Casado(a),Masculino,Mestrado,9
5211,Katie,Sharma,1-9-1962,Casado(a),Feminino,Mestrado,21
5212,Kaitlin,Rodriguez,9-26-1962,Casado(a),Feminino,Mestrado,7
5213,Kristine,Martin,11-23-1962,Casado(a),Feminino,Mestrado,3
5214,Katie,Pal,2-27-1978,Solteiro(a),Feminino,Pós-graduação,16
5215,Brent,Zeng,8-7-1978,Casado(a),Masculino,Pós-graduação,16
5216,Ricardo,Deng,12-16-1978,Solteiro(a),Masculino,Pós-graduação,16
5217,Johnathan,Prasad,3-17-1977,Casado(a),Masculino,Pós-graduação,12
5218,Laura,Cai,7-10-1977,Solteiro(a),Feminino,Pós-graduação,25
5219,Savannah,Murphy,11-4-1977,Casado(a),Feminino,Pós-graduação,27
5220,Bobby,Raman,7-1-1977,Solteiro(a),Masculino,Pós-graduação,8
5221,Carson,Russell,12-13-1976,Casado(a),Masculino,Ensino Médio,22
5222,Bryant,Sara,5-24-1975,Solteiro(a),Masculino,Ensino Fundamental,9
5223,Lisa,Hu,3-23-1975,Solteiro(a),Feminino,Ensino Médio,13
5224,Edward,Campbell,1-22-1976,Solteiro(a),Masculino,Ensino Médio,9
5225,Roger,Chen,7-11-1976,Casado(a),Masculino,Pós-graduação,10
5226,Garrett,Reed,1-3-1975,Solteiro(a),Masculino,Ensino Fundamental,13
5227,Julie,Xie,4-11-1974,Casado(a),Feminino,Ensino Fundamental,21
5228,Carl,Luo,8-12-1974,Solteiro(a),Masculino,Ensino Fundamental,20
5229,Mallory,Alvarez,6-21-1974,Solteiro(a),Feminino,Ensino Fundamental,8
5230,Bruce,Rana,12-1-1975,Solteiro(a),Masculino,Pós-graduação,2
5231,Kaitlin,Gonzalez,11-7-1975,Solteiro(a),Feminino,Pós-graduação,30
5232,Crystal,Zheng,7-25-1975,Solteiro(a),Feminino,Pós-graduação,18
5233,Kenneth,Andersen,6-20-1975,Solteiro(a),Masculino,Pós-graduação,29
5234,Rafael,Wang,3-17-1975,Solteiro(a),Masculino,Pós-graduação,19
5235,Mackenzie,Ward,12-16-1975,Casado(a),Feminino,Mestrado,4
5236,Gilbert,Nath,4-7-1973,Solteiro(a),Masculino,Ensino Fundamental,2
5237,Jeffery,Hu,6-4-1974,Solteiro(a),Masculino,Pós-graduação,2
5238,April,Kumar,8-6-1974,Solteiro(a),Feminino,Pós-graduação,6
5239,Bob,Chapman,3-2-1980,Solteiro(a),Masculino,Ensino Fundamental,5
5240,Raul,Raji,10-26-1980,Casado(a),Masculino,Ensino Fundamental,6
5241,Natasha,Carlson,3-12-1980,Casado(a),Feminino,Ensino Fundamental,19
5242,Steve,Li,11-15-1980,Solteiro(a),Masculino,Ensino Fundamental,24
5243,Kaylee,Phillips,2-26-1962,Casado(a),Feminino,Pós-graduação,29
5244,Alex,Adams,6-24-1962,Casado(a),Masculino,Pós-graduação,20
5245,Byron,Diaz,10-16-1961,Casado(a),Masculino,Ensino Médio,7
5246,Omar,Li,3-10-1961,Solteiro(a),Masculino,Ensino Médio,3
5247,Mason,Brooks,4-20-1961,Casado(a),Masculino,Ensino Médio,12
5248,Allison,Campbell,5-14-1961,Casado(a),Feminino,Pós-graduação,25
5249,Lucas,Richardson,2-8-1961,Casado(a),Masculino,Pós-graduação,24
5250,Mindy,Lal,6-2-1960,Casado(a),Feminino,Mestrado,8
5251,Robert,Taylor,7-12-1960,Casado(a),Masculino,Pós-graduação,25
5252,Angel,Rogers,7-17-1960,Casado(a),Masculino,Pós-graduação,30
5253,Brianna,Gonzales,3-3-1967,Solteiro(a),Feminino,Pós-graduação,31
5254,Miguel,Diaz,12-27-1967,Solteiro(a),Masculino,Pós-graduação,6
5255,Alyssa,Ramirez,9-25-1967,Solteiro(a),Feminino,Ensino Superior,23
5256,Aaron,Campbell,12-22-1967,Solteiro(a),Masculino,Ensino Superior,1
5257,Amanda,Hill,7-9-1967,Solteiro(a),Feminino,Ensino Superior,19
5258,James,Thompson,2-15-1967,Casado(a),Masculino,Ensino Superior,19
5259,Michael,Clark,2-10-1928,Casado(a),Masculino,Ensino Superior,16
5260,Jeremiah,Flores,3-4-1960,Casado(a),Masculino,Pós-graduação,11
5261,Maria,Lopez,2-24-1960,Casado(a),Feminino,Pós-graduação,22
5262,Robert,Perry,4-20-1959,Casado(a),Masculino,Mestrado,24
5263,Trevor,Patterson,7-19-1959,Solteiro(a),Masculino,Mestrado,23
5264,Kaitlyn,Rodriguez,6-9-1959,Casado(a),Feminino,Ensino Superior,4
5265,April,Xie,11-24-1959,Casado(a),Feminino,Ensino Superior,22
5266,Megan,Johnson,3-14-1958,Casado(a),Feminino,Mestrado,11
5267,Brooke,Sanchez,11-21-1958,Solteiro(a),Feminino,Mestrado,3
5268,William,Williams,6-5-1958,Casado(a),Masculino,Ensino Superior,9
5269,Troy,Raman,2-8-1958,Casado(a),Masculino,Ensino Superior,26
5270,Sheila,Gomez,8-3-1969,Solteiro(a),Feminino,Ensino Superior,30
5271,Tamara,Yuan,3-15-1969,Solteiro(a),Feminino,Ensino Superior,17
5272,Kara,Becker,10-11-1969,Solteiro(a),Feminino,Ensino Superior,14
5273,Clifford,Chapman,4-22-1970,Casado(a),Masculino,Ensino Superior,13
5274,Nancy,Arun,8-23-1970,Casado(a),Feminino,Mestrado,17
5275,Edwin,Sun,9-27-1968,Casado(a),Masculino,Mestrado,3
5276,Christopher,Taylor,2-6-1968,Solteiro(a),Masculino,Mestrado,28
5277,Francisco,Sanchez,5-7-1968,Casado(a),Masculino,Mestrado,31
5278,Chad,Yuan,11-13-1967,Casado(a),Masculino,Mestrado,5
5279,Andre,Smith,3-13-1967,Casado(a),Masculino,Mestrado,26
5280,Armando,Gomez,7-24-1967,Solteiro(a),Masculino,Ensino Superior,13
5281,Raul,Chande,8-10-1967,Casado(a),Masculino,Ensino Superior,4
5282,Kara,Nath,2-14-1967,Casado(a),Feminino,Ensino Superior,30
5283,Jillian,Saunders,6-8-1966,Casado(a),Feminino,Mestrado,11
5284,Jaclyn,Zhou,7-12-1966,Casado(a),Feminino,Mestrado,18
5285,Katherine,Flores,3-24-1965,Solteiro(a),Feminino,Mestrado,7
5286,Summer,Sullivan,9-19-1965,Solteiro(a),Feminino,Mestrado,4
5287,Lori,Navarro,11-13-1965,Casado(a),Feminino,Mestrado,11
5288,Hector,Moreno,9-15-1968,Casado(a),Masculino,Mestrado,14
5289,Harold,Rodriguez,8-17-1968,Solteiro(a),Masculino,Mestrado,15
5290,Gilbert,Jai,4-25-1968,Casado(a),Masculino,Mestrado,22
5291,Randall,Vazquez,2-4-1965,Solteiro(a),Masculino,Mestrado,24
5292,Darrell,Luo,10-16-1964,Casado(a),Masculino,Mestrado,5
5293,Clifford,Sanchez,7-19-1964,Casado(a),Masculino,Mestrado,3
5294,Desiree,Rubio,11-23-1963,Casado(a),Feminino,Mestrado,28
5295,Pablo,Rovira Diez,2-23-1963,Solteiro(a),Masculino,Mestrado,17
5296,Willie,Lu,1-23-1962,Casado(a),Masculino,Mestrado,23
5297,Regina,Sai,8-27-1962,Casado(a),Feminino,Mestrado,21
5298,Philip,Hernandez,1-15-1962,Casado(a),Masculino,Mestrado,30
5299,Tara,Nara,6-24-1962,Casado(a),Feminino,Mestrado,1
5300,Rafael,Xu,1-15-1962,Casado(a),Masculino,Mestrado,30
5301,Kathleen,Alonso,5-13-1961,Casado(a),Feminino,Pós-graduação,22
5302,Sheena,Pal,1-22-1961,Solteiro(a),Feminino,Mestrado,24
5303,Madison,Williams,6-19-1961,Casado(a),Feminino,Mestrado,5
5304,Ruth,Raman,6-8-1961,Solteiro(a),Feminino,Pós-graduação,19
5305,Alison,Kumar,5-3-1961,Solteiro(a),Feminino,Pós-graduação,14
5306,Anna,Rogers,2-13-1929,Solteiro(a),Feminino,Ensino Superior,5
5307,Theresa,Torres,3-25-1966,Solteiro(a),Feminino,Ensino Superior,31
5308,Mary,Allen,12-25-1966,Casado(a),Feminino,Ensino Superior,15
5309,Candice,Lu,8-23-1966,Solteiro(a),Feminino,Mestrado,11
5310,Denise,Vance,3-7-1966,Solteiro(a),Feminino,Ensino Superior,26
5311,Roberto,Moreno,9-6-1960,Solteiro(a),Masculino,Pós-graduação,9
5312,Vincent,Li,7-16-1960,Casado(a),Masculino,Pós-graduação,14
5313,Olivia,Griffin,6-5-1932,Solteiro(a),Feminino,Pós-graduação,18
5314,Randall,Moreno,6-19-1965,Solteiro(a),Masculino,Mestrado,25
5315,Colin,Luo,4-3-1965,Solteiro(a),Masculino,Mestrado,10
5316,Louis,He,5-12-1964,Solteiro(a),Masculino,Mestrado,10
5317,Nicolas,Lal,11-23-1964,Solteiro(a),Masculino,Mestrado,18
5318,Peter,Black,11-16-1964,Solteiro(a),Masculino,Mestrado,15
5319,Corey,She,4-1-1964,Solteiro(a),Masculino,Mestrado,24
5320,Tiffany,Yang,8-27-1964,Solteiro(a),Feminino,Mestrado,2
5321,Larry,Blanco,5-24-1964,Solteiro(a),Masculino,Mestrado,14
5322,Casey,Xie,10-23-1959,Solteiro(a),Feminino,Mestrado,10
5323,Wyatt,Rodriguez,6-13-1963,Solteiro(a),Masculino,Mestrado,11
5324,Candice,Zhu,2-7-1963,Solteiro(a),Feminino,Mestrado,9
5325,Meghan,Moyer,7-2-1962,Casado(a),Feminino,Pós-graduação,28
5326,Martin,Sai,7-22-1961,Casado(a),Masculino,Pós-graduação,17
5327,Kelvin,Xu,10-16-1961,Casado(a),Masculino,Pós-graduação,18
5328,Evelyn,Suri,9-24-1961,Solteiro(a),Feminino,Pós-graduação,11
5329,Jamie,Alan,3-10-1958,Casado(a),Masculino,Mestrado,2
5330,Michele,Jai,10-16-1958,Solteiro(a),Feminino,Mestrado,1
5331,Dale,Nara,4-26-1956,Solteiro(a),Masculino,Pós-graduação,5
5332,Melanie,Morgan,10-11-1953,Casado(a),Feminino,Pós-graduação,13
5333,Cassidy,Henderson,6-28-1953,Casado(a),Feminino,Mestrado,17
5334,Latoya,Jai,10-25-1953,Solteiro(a),Feminino,Mestrado,15
5335,Carla,Rodriguez,7-11-1953,Casado(a),Feminino,Mestrado,12
5336,Christine,Goel,1-10-1953,Casado(a),Feminino,Mestrado,23
5337,Levi,Garcia,6-10-1949,Casado(a),Masculino,Ensino Médio,4
5338,Christopher,Smith,3-15-1976,Casado(a),Masculino,Ensino Médio,24
